"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"ddtidp_799","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI calcarine sulcus","","","dmri_dti.md.gm_cort.destrieux_s.calcarine.lh,dmri_dtimdgm_cortdestrieux_scalcarinelh"
"ddtidp_800","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI central sulcus","","","dmri_dti.md.gm_cort.destrieux_s.central.lh,dmri_dtimdgm_cortdestrieux_scentrallh"
"ddtidp_801","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI marginal branch of the cingulate sulcus","","","dmri_dti.md.gm_cort.destrieux_s.cingul.marginalis.lh,dmri_dtimdgm_cortdestrieux_scingulmarginalislh"
"ddtidp_802","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI anterior segment of the circular sulcus of the insula","","","dmri_dti.md.gm_cort.destrieux_s.circular.insula.ant.lh,dmri_dtimdgm_cortdestrieux_scircularinsulaantlh"
"ddtidp_803","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI inferior segment of the circular sulcus of the insula","","","dmri_dti.md.gm_cort.destrieux_s.circular.insula.inf.lh,dmri_dtimdgm_cortdestrieux_scircularinsulainflh"
"ddtidp_804","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI superior segment of the circular sulcus of the insula","","","dmri_dti.md.gm_cort.destrieux_s.circular.insula.sup.lh,dmri_dtimdgm_cortdestrieux_scircularinsulasuplh"
"ddtidp_805","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI anterior transverse collateral sulcus","","","dmri_dti.md.gm_cort.destrieux_s.collat.transv.ant.lh,dmri_dtimdgm_cortdestrieux_scollattransvantlh"
"ddtidp_806","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI posterior transverse collateral sulcus","","","dmri_dti.md.gm_cort.destrieux_s.collat.transv.post.lh,dmri_dtimdgm_cortdestrieux_scollattransvpostlh"
"ddtidp_807","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI inferior frontal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.front.inf.lh,dmri_dtimdgm_cortdestrieux_sfrontinflh"
"ddtidp_808","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI middle frontal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.front.middle.lh,dmri_dtimdgm_cortdestrieux_sfrontmiddlelh"
"ddtidp_809","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI superior frontal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.front.sup.lh,dmri_dtimdgm_cortdestrieux_sfrontsuplh"
"ddtidp_810","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI sulcus intermedius primus","","","dmri_dti.md.gm_cort.destrieux_s.interm.prim.jensen.lh,dmri_dtimdgm_cortdestrieux_sintermprimjensenlh"
"ddtidp_811","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI intraparietal sulcus and transverse parietal sulci","","","dmri_dti.md.gm_cort.destrieux_s.intrapariet.and.p.trans.lh,dmri_dtimdgm_cortdestrieux_sintraparietandptranslh"
"ddtidp_812","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI middle occipital sulcus and lunatus sulcus","","","dmri_dti.md.gm_cort.destrieux_s.oc.middle.and.lunatus.lh,dmri_dtimdgm_cortdestrieux_socmiddleandlunatuslh"
"ddtidp_813","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI superior occipital sulcus and transverse occipital sulcus","","","dmri_dti.md.gm_cort.destrieux_s.oc.sup.and.transversal.lh,dmri_dtimdgm_cortdestrieux_socsupandtransversallh"
"ddtidp_814","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI anterior occipital sulcus and preoccipital notch","","","dmri_dti.md.gm_cort.destrieux_s.occipital.ant.lh,dmri_dtimdgm_cortdestrieux_soccipitalantlh"
"ddtidp_815","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI lateral occipito-temporal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.oc.temp.lat.lh,dmri_dtimdgm_cortdestrieux_soctemplatlh"
"ddtidp_816","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI medial occipito-temporal sulcus and lingual sulcus","","","dmri_dti.md.gm_cort.destrieux_s.oc.temp.med.and.lingual.lh,dmri_dtimdgm_cortdestrieux_soctempmedandlinguallh"
"ddtidp_817","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI lateral orbital sulcus","","","dmri_dti.md.gm_cort.destrieux_s.orbital.lateral.lh,dmri_dtimdgm_cortdestrieux_sorbitallaterallh"
"ddtidp_818","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI medial orbital sulcus","","","dmri_dti.md.gm_cort.destrieux_s.orbital.med.olfact.lh,dmri_dtimdgm_cortdestrieux_sorbitalmedolfactlh"
"ddtidp_819","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI orbital sulci","","","dmri_dti.md.gm_cort.destrieux_s.orbital.h.shaped.lh,dmri_dtimdgm_cortdestrieux_sorbitalhshapedlh"
"ddtidp_820","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI parieto-occipital sulcus","","","dmri_dti.md.gm_cort.destrieux_s.parieto.occipital.lh,dmri_dtimdgm_cortdestrieux_sparietooccipitallh"
"ddtidp_821","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI pericallosal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.pericallosal.lh,dmri_dtimdgm_cortdestrieux_spericallosallh"
"ddtidp_822","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI postcentral sulcus","","","dmri_dti.md.gm_cort.destrieux_s.postcentral.lh,dmri_dtimdgm_cortdestrieux_spostcentrallh"
"ddtidp_823","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI inferior part of the precentral sulcus","","","dmri_dti.md.gm_cort.destrieux_s.precentral.inf.part.lh,dmri_dtimdgm_cortdestrieux_sprecentralinfpartlh"
"ddtidp_824","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI superior part of the precentral sulcus","","","dmri_dti.md.gm_cort.destrieux_s.precentral.sup.part.lh,dmri_dtimdgm_cortdestrieux_sprecentralsuppartlh"
"ddtidp_825","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI suborbital sulcus","","","dmri_dti.md.gm_cort.destrieux_s.suborbital.lh,dmri_dtimdgm_cortdestrieux_ssuborbitallh"
"ddtidp_826","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI subparietal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.subparietal.lh,dmri_dtimdgm_cortdestrieux_ssubparietallh"
"ddtidp_827","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI inferior temporal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.temporal.inf.lh,dmri_dtimdgm_cortdestrieux_stemporalinflh"
"ddtidp_828","Float","","Recommended","Mean diffusivity within parcellation of cortical gray matter associated with left hemisphere cortical Destrieux ROI superior temporal sulcus","","","dmri_dti.md.gm_cort.destrieux_s.temporal.sup.lh,dmri_dtimdgm_cortdestrieux_stemporalsuplh"
