"ElementName","DataType","Size","Required","ElementDescription","ValueRange","Notes","Aliases"
"tfsstabwdp_805","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI parieto-occipital sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.parieto.occipital.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_sparietooccipitallh"
"tfsstabwdp_806","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI pericallosal sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.pericallosal.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_spericallosallh"
"tfsstabwdp_807","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI postcentral sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.postcentral.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_spostcentrallh"
"tfsstabwdp_808","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI inferior part of the precentral sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.precentral.inf.part.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_sprecentralinfpartlh"
"tfsstabwdp_809","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI superior part of the precentral sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.precentral.sup.part.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_sprecentralsuppartlh"
"tfsstabwdp_810","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI suborbital sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.suborbital.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_ssuborbitallh"
"tfsstabwdp_811","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI subparietal sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.subparietal.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_ssubparietallh"
"tfsstabwdp_812","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI inferior temporal sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.temporal.inf.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_stemporalinflh"
"tfsstabwdp_813","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI superior temporal sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.temporal.sup.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_stemporalsuplh"
"tfsstabwdp_814","Float","","Recommended","Mean beta weight for SST incorrect go versus correct go contrast in left hemisphere cortical Destrieux ROI transverse temporal sulcus","","","tfmri_sst_all_incorrect.go.vs.correct.go_beta_cort.destrieux_s.temporal.transverse.lh,tfmri_sst_all_incorrectgovscorrectgo_beta_cortdestrieux_stemporaltransverselh"
